tower,name,tile,start_date,end_date,latitude,longitude
US-Vcp,Valles Caldera Ponderosa Pine,13SCV,2018-10-01,2024-01-01,35.8624,-106.5974
US-Act,Acton Lake Flux Tower Site,16SFJ,2018-10-01,2018-11-13,39.582,-84.758
US-TrS,Trout Lake Area South Sparkling Bog,15TYM,2020-01-01,2020-11-01,46.0034,-89.7053
US-PFh,NE2 Pine-3 CHEESEHEAD 2019,15TYL,2019-01-01,2019-11-01,45.9557,-90.2406
US-xAE,NEON Klemme Range Research Station (OAES),14SME,2018-10-01,2022-12-01,35.4106,-99.0588
US-Me2,Metolius mature ponderosa pine,10TFQ,2018-10-01,2023-03-21,44.4523,-121.5574
US-xLE,NEON Lenoir Landing (LENO),16SCA,2018-10-01,2022-12-01,31.8539,-88.1612
US-KM4,KBS Marshall Farms Smooth Brome Grass (Ref),16TFN,2018-10-01,2022-01-01,42.4423,-85.3301
US-JRn,WV Jacks Run,17SND,2018-10-01,2019-04-01,39.6789,-80.1646
US-Ses,Sevilleta shrubland,13SCU,2018-10-01,2024-01-01,34.3349,-106.7442
US-CF1,CAF-LTAR Cook East,11TMM,2018-10-01,2022-01-01,46.7815,-117.0821
US-xNW,NEON Niwot Ridge Mountain Research Station (NIWO),13TDE,2018-10-01,2022-12-01,40.0543,-105.5824
US-xSC,NEON Smithsonian Conservation Biology Institute (SCBI),17SQD,2018-10-01,2022-12-01,38.8929,-78.1395
US-NR3,Niwot Ridge Alpine (T-Van West),13TDE,2018-10-01,2023-01-01,40.052,-105.5864
US-xDC,NEON Dakota Coteau Field School (DCFS),14TMT,2018-10-01,2022-12-01,47.1617,-99.1066
US-SRS,Santa Rita Savanna,12SWA,2018-10-01,2019-01-01,31.8173,-110.8508
US-PFr,SE4 Tussock-2 CHEESEHEAD 2019,15TYL,2019-01-01,2019-11-01,45.9245,-90.2475
US-Me6,Metolius Young Pine Burn,10TFQ,2018-10-01,2022-12-31,44.3233,-121.6078
US-PFL,SW2 Aspen-3 CHEESEHEAD 2019,15TYL,2019-01-01,2019-11-01,45.9409,-90.3177
US-SRM,Santa Rita Mesquite,12SWA,2018-10-01,2024-01-01,31.8214,-110.8661
US-MOz,Missouri Ozark Site,15SWC,2018-10-01,2022-01-01,38.7441,-92.2
US-UC2,LTAR UCB (Upper Chesapeake Bay) EC2,17TQF,2019-01-01,2024-01-01,40.7559,-77.9998
US-CF4,CAF-LTAR Boyd South,11TMM,2018-10-01,2022-01-01,46.7518,-117.1285
US-PHM,Plum Island High Marsh,19TCH,2018-10-01,2021-01-01,42.7423,-70.8301
US-xTR,NEON Treehaven (TREE),15TYL,2018-10-01,2022-12-01,45.4937,-89.5857
US-PFi,NE3 Hardwood-1 CHEESEHEAD 2019,15TYL,2019-01-01,2019-11-01,45.9749,-90.2327
US-ARM,ARM Southern Great Plains site- Lamont,14SPF,2018-10-01,2024-04-02,36.6058,-97.4888
US-xCL,NEON LBJ National Grassland (CLBJ),14SPC,2018-10-01,2022-12-01,33.4012,-97.57
US-CF2,CAF-LTAR Cook West,11TMM,2018-10-01,2021-01-12,46.784,-117.0908
US-Syv,Sylvania Wilderness Area,15TYM,2018-10-01,2024-01-01,46.242,-89.3477
US-PFq,SE3 Aspen-4 CHEESEHEAD 2019,15TYL,2019-01-01,2019-11-01,45.9271,-90.2475
US-Hn2,Hanford 100H grassland,10TGS,2018-10-01,2019-01-01,46.6889,-119.4641
US-xAB,NEON Abby Road (ABBY),10TER,2018-10-01,2022-12-01,45.7624,-122.3303
US-xSE,NEON Smithsonian Environmental Research Center (SERC),18SUJ,2018-10-01,2022-12-01,38.8901,-76.56
US-NC3,NC_Clearcut#3,18SUE,2018-10-01,2022-01-01,35.799,-76.656
US-xNQ,NEON Onaqui-Ault (ONAQ),12TUK,2018-10-01,2022-12-01,40.1776,-112.4524
US-UC1,LTAR UCB (Upper Chesapeake Bay) EC1,17TQF,2019-01-01,2024-01-01,40.7536,-78.0056
US-DFK,Dairy Forage Research Center - Kernza,15TYJ,2018-10-01,2021-01-04,43.3453,-89.7154
US-PFt,SE6 Pine-4 CHEESEHEAD 2019,15TYL,2019-01-01,2019-11-01,45.9197,-90.2288
US-PFj,NE4 Maple-1 CHEESEHEAD 2019,15TYL,2019-01-01,2019-11-01,45.9619,-90.227
US-WCr,Willow Creek,15TYL,2018-10-01,2024-01-01,45.8059,-90.0799
US-CMW,Charleston Mesquite Woodland,12SWA,2018-10-01,2022-01-01,31.6637,-110.1777
US-Rws,Reynolds Creek Wyoming big sagebrush,11TNH,2018-10-01,2022-10-01,43.1675,-116.7132
US-CF3,CAF-LTAR Boyd North,11TMM,2018-10-01,2022-01-01,46.7551,-117.1261
US-PFp,SE2 Hardwood-4 CHEESEHEAD 2019,15TYL,2019-01-01,2019-11-01,45.9365,-90.2641
US-Rms,RCEW Mountain Big Sagebrush,11TNH,2018-10-01,2022-10-01,43.0645,-116.7486
US-Hn3,Hanford 100H sagebrush,10TGS,2018-10-01,2019-01-01,46.6878,-119.4614
US-PFn,SW4 Hardwood-3 CHEESEHEAD 2019,15TYL,2019-01-01,2019-11-01,45.9392,-90.2823
US-xRM,"NEON Rocky Mountain National Park, CASTNET (RMNP)",13TDE,2018-10-01,2022-12-01,40.2759,-105.5459
US-CC1,Coloma Corn 1,15TYJ,2021-01-01,2022-01-01,44.0732,-89.6787
US-BMM,Bangtail Mountain Meadow,12TWR,2018-10-01,2019-08-28,45.783,-110.7776
US-xJE,NEON Jones Ecological Research Center (JERC),16RGV,2018-10-01,2022-12-01,31.1948,-84.4686
US-NR4,Niwot Ridge Alpine (T-Van East),13TDE,2018-10-01,2023-01-01,40.052,-105.5859
US-NC2,NC_Loblolly Plantation,18SUE,2018-10-01,2024-01-01,35.803,-76.6685
US-Vcs,Valles Caldera Sulphur Springs Mixed Conifer,13SCV,2018-10-01,2024-01-01,35.9193,-106.6142
US-RGB,Butte County Rice Farm,10SEJ,2021-01-01,2023-09-28,39.5782,-121.8579
US-xCP,NEON Central Plains Experimental Range (CPER),13TEF,2018-10-01,2022-12-01,40.8155,-104.7456
US-PFk,SW1 Aspen-2 CHEESEHEAD 2019,15TYL,2019-01-01,2019-11-01,45.9149,-90.3425
US-UiB,University of Illinois Miscanthus,16TCK,2018-10-01,2022-01-01,40.0628,-88.1984
US-Vcm,Valles Caldera Mixed Conifer,13SCV,2018-10-01,2023-09-30,35.8884,-106.5321
